CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429211.108,4583267.336,C. Tuset. 20-24 (entre C/ Demoià Moià i C/ de la Granada del Penedès) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429212.117,4581984.338,C. Urgell. 156 (entre C/ Mallorca-C/ València) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429295.093,4585163.334,C. Larrard. 61 aprox. - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429299.113,4582605.338,C. Casanova. 158 aprox. (C/ Roselló) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429315.133,4579958.342,Av. Estadi. 37 aprox. - places: 8-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429365.109,4583042.338,C. Paris. 198 (xamfrà C/ Enric Granados) - places: 7-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429427.104,4583760.337,C. Gran de Gràcia. 79-81 - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429433.127,4580698.342,Av. Rius i Taulet. 1-3 (cantonada C/ Lleida. 36) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429466.12,4581645.341,C. Viladomat. 138 (xamfrà C/ Diputació) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429499.091,4585395.335,Ctra. Carmel. 19-25 aprox. - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429623.111,4582778.34,C. Enric Granados. 77 bis (C/ Provença) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429726.082,4586509.335,C. Llobregós. 101 aprox. (Rbla. Carmel) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429740.11,4582891.341,C. Provença. 213 (c/ Balmes) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429759.097,4584548.338,Pl. Rovira i Trias. 3 - places: 2-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429775.107,4583278.34,C. Còrsega. 319 (Pg. Gràcia)- Av. Diagonal. 391 - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429801.108,4583094.341,Rbla. Catalunya. 110  (xamfrà C/ Roselló) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429834.111,4582752.342,C. Mallorca. 220-222 (c/ Balmes) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429836.122,4581215.344,C. Viladomat. 59 (cantonada c/ Tamarit. 138) - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429847.123,4581080.344,C. Manso. 19-23  (c/ Calabria) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429851.13,4580184.346,Av. Miramar. 1 (Parc de Monjuïc. s/n) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429852.092,4585149.338,C. Mare de Deu de la Salut. 78 (Secretari Coloma) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429921.114,4582280.343,C. Aribau. 31-33 (C/ Consell de Cent) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,429955.108,4583101.342,C. Provença. 257-259 (Pg. Gràcia) - places: 5-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430002.078,4586986.336,C. Tajo. 53 - places: 6-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430017.1,4584098.341,Travessera de Gràcia. 212 (cantonada c/ Bailen) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430029.12,4581458.345,C. Comte d'Urgell. 14 (C/ Tamarit) - places: 4-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430049.108,4583039.343,Pg. Gràcia. 75-79 (C/ Mallorca) - places: 3-,,
K018,Parades Taxi                                    ,Paradas Taxi                                       ,Taxi Ranks                                      ,430126.068,4588242.335,Pl. Carlos Marx (Pg. Valldaura. 125 aprox.) - places: 2-,,
