CODI_CAPA,NOM_CAPA_CAT,NOM_CAPA_CAST,NOM_CAPA_ANG,COORD_X,COORD_Y,EQUIPAMENT,TELEFON,ADRECA
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428650.915,4582761.366,Aparcament Loreto,934306886,C Buenos Aires. 19*21
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428653.274,4584163.123,Aparcament Parera y Paré,934171139,C Sant Hermenegild. 12*14
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428688.591,4582638.605,Aparcament Centurión,934307713,Av Sarrià. 12
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428695.854,4583761.285,Aparcament Augusta,934147016,Via Augusta. 119
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428730.064,4583275.065,Aparcament Las Americas,932001975,C Muntaner. 277
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428730.064,4583275.065,Aparcament Las Americas,932001975,C Santaló. 30
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428744.614,4583088.312,Aparcament Travessera de Gràcia 17,932000338,Trav Gràcia. 17
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428747.951,4583181.141,Aparcament Nuñez y Navarro *Santalo,932007524,C Santaló. 14*16
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428752.361,4582292.714,Aparcament Anaric,934102569,C Còrsega. 111
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428792.924,4581604.849,Aparcament Farrarons,932260110,C València. 19
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428800.461,4583597.417,Aparcament Agropecuaria el Maset,null,C Madrazo. 60*66
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428832.649,4582902.73,Aparcament Mariano Marco Herrera,934302789,C Buenos Aires. 46
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428836.708,4581998.994,Aparcament Ana Tibau Martinez,933228206,C Provença. 55
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428853.554,4583448.967,Aparcament Antonio Mestres Cortes,932007328,C Aribau. 276
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428857.106,4582738.076,Aparcament Londres-Villarroel,934108136,C Londres. 56
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428867.068,4583683.145,Aparcament Madrazo,932097093,C Madrazo. 46*52
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428874.714,4582648.514,Aparcament Uris,934399535,C Comte d'Urgell. 240
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428884.252,4583200.767,Aparcament Travessera de Gràcia 43,932099713,Trav Gràcia. 43
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428898.085,4581612.599,Aparcament Promo,932263495,C Entença. 117*121
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428903.345,4582627.218,Aparcament Uris,934399535,C París. 117
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428913.368,4582169.433,Aparcament Almafra,934100498,C Viladomat. 239
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428921.75,4583921.517,Aparcament Aparcamientos Augusta,932179680,C Matilde Díez. 9
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428923.682,4582583.03,Aparcament Núñez y Navarro *Comte d'Urgell,933226405,C Comte d'Urgell. 236
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428933,4581669,Aparcament Jape,932262021,C València. 70
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428937.379,4582817.058,Aparcament  Elizalde,934306338,C Londres. 70
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428938.8,4582749.227,Aparcament Amalia Elizalde Llobet,934304141,C Villarroel. 198
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428943.092,4581915.6,Aparcament Núñez y Navarro *Mallorca,934197396,C Mallorca. 51
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428989.808,4582537.15,Aparcament Núñez y Navarro *Comte d'Urgell,933226405,C Còrsega. 171
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428992.454,4582613.744,Aparcament Lider,933220470,C Còrsega. 179
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,428994.939,4581592.476,Aparcament Jape,932262021,C Aragó. 63
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429018.039,4583768.486,Aparcament Esmerfi,932183216,C Madrazo. 27*29
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429019,4584309,Aparcament Ortolani,932372792,Av Príncep d'Astúries. 69
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429019.52,4583542.792,Aparcament Mª Rosa Puig Pellicer,932170438,C Alfons XII. 30
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429022.607,4582339.508,Aparcament Àgora,933232967,C Rosselló. 94
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429030,4583275,Aparcament Heptaprim,932093089,Trav Gràcia. 56*58
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429031.351,4581698.596,Aparcament Dolter,932260612,C Rocafort. 142
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429032.643,4582910.72,Aparcament Londres,934303429,C Londres. 82*86
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429034.957,4583323.903,Aparcament Abart,null,Trav Gràcia. 53
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429042.156,4583218.105,Aparcament David,932004929,C Aribau. 230*240
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429059.042,4583552.2,Aparcament Josefina Tuozzo in Tallo,null,C Marià Cubí. 29
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429100.506,4582258.666,Aparcament Inorsa,934537269,C Provença. 107
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429103.224,4580586.053,Aparcament Rius i Taulet,934235361,Av Reina Maria Cristina. 16
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429122.745,4581898.172,Aparcament València - Calàbria,932260451,C València. 77
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429125.127,4582527.535,Aparcament Construcciones Viviendas y Locales,932174055,C Villarroel. 191
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429125.84,4581087.882,Aparcament Sepúlveda 92,934234868,G.V. Corts Catalanes. 400
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429157.345,4584512.674,Aparcament Torrent de l'Olla,932180942,C Torrent de l'Olla. 221
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429167.019,4583382.381,Aparcament Tave,932177221,C Granada del Penedès. 28
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429170.794,4582012.888,Aparcament Arimar Activa,932371229,Av Roma. 101
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429174.212,4583956.102,Aparcament Francisco Boixade Sastre,932171058,C Bretón de los Herreros. 19
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429185.468,4583865.669,Aparcament Cine Bosque,932172642,Rbla Prat. 16
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429189.325,4583666.198,Aparcament Finaf 92,932379160,C Marià Cubí. 2
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429198.837,4581305.019,Aparcament Coen,934231588,C Entença. 61
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429202.789,4582685.46,Aparcament Hospital Clínic,933223804,C Casanova. 168
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429204.249,4583985.079,Aparcament Mª Teresa Flotats Rifa,932181944,C Bretón de los Herreros. 10*12
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429204.504,4582446.503,Aparcament José Adame Barrero,934546280,C Villarroel. 177*179
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429210.938,4584567.93,Aparcament Adelaida Fandos Morera,932180056,C Santa Perpètua. 9
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429212.969,4583990.452,Aparcament Dolores Zorita Villalba,932183509,C Bretón de los Herreros. 8
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429214.433,4582744.301,Aparcament Auriga,934100023,C Còrsega. 213
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429219.683,4583498.367,Col·legi Oficial d'Odontòlegs i Estomatòlegs de Catalunya-Aparcament,933101555,Trav Gràcia. 93*95
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429220.739,4581783.636,Aparcament Pupilaje J. Amores,934244925,C Aragó. 78*80
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429221.446,4582938.343,Aparcament Crystal Car Rental,934142469,C París. 179*181
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429233,4580990,Aparcament INEXES,934870713,Av Mistral. 99
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429238.836,4584070.808,Aparcament Gràcia Motos,934155753,C Gran de Gràcia. 190*192
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429253.355,4583395.084,Aparcament Ibermotor *Balmes,932371229,C Balmes. 200
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429308.621,4584074.02,Aparcament Francesc Guilera Tebé,932189141,C Santa Rosa. 10
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429310.562,4582995.248,Aparcament Rocas *París,932183982,C París. 184*186
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429315.267,4582280.075,Aparcament Gismat,934535777,C Mallorca. 127*129
K006,Aparcaments                                     ,Aparcamientos                                      ,Car parks                                       ,429318.61,4582176.283,Aparcament Finapark,934549410,C Comte d'Urgell. 154
